PROMOTOR-GESTOR;ACCES;TIPUS VELOCITAT;TIPUS CONNEXIÓ;LATITUD;LONGITUD;IDENTIFICADOR;DESIGNACIÓ-DESCRIPTIVA;IDE PDR;ADREÇA;PROVINCIA;CODIPROV;MUNICIPI;CODIINE;NPLACES ESTACIÓ;TIPUS VEHICLE;TELEFON;HORARI;INFORMACIÓ ADICIONAL
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.4274;2.1772; 08-0193-035 ;B:SM 16 - Illa Borbó;BSM019;Carrer de Ramon Albó ,77;Barcelona;08;Barcelona;0193;1+1;cotxe i moto;93.408.56.44;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-02/illaborbo2036.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.40316547542533;2.189422845840454; 08-0193-036 ;B:SM 3 - Badajoz -Glòries;BSM020;Carrer de Badajoz, 168;Barcelona;08;Barcelona;0193;3+2;cotxe i moto;93.328.49.49;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-01/badajozglories.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.405746;2.162722; 08-0193-037 ;B:SM 28 - Plaça Joanic;BSM021;Carrer de l'Escorial, 1 - Pl. Joanic, 1;Barcelona;08;Barcelona;0193;3+1;cotxe i moto;93.284.63.45;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-03/pl-joanic-2040-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.442055;2.177675; 08-0193-038 ;B:SM 31 - Plaça Francesc Layret;BSM022;Via Júlia, 95;Barcelona;08;Barcelona;0193;3+1;cotxe i moto;93.359.39.56;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-04/francesc-layret-2046-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.399815;2.123474; 08-0193-039 ;B:SM 32 - Porta de Sarrià;BSM023;Carrer de Salvador Mundí, 17;Barcelona;08;Barcelona;0193;2+1;cotxe i moto;93.280.17.52;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-04/porta-de-sarria-2050-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.430428;2.187965; 08-0193-040 ;B:SM 36 - Sant Andreu Teatre;BSM024;Carrer de les Monges, 2;Barcelona;08;Barcelona;0193;2+1;cotxe i moto;93.311.49.01;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-04/sant-andreu-teatre-sat-2051-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.4092;2.1681; 08-0193-041 ;B:SM 18 - Marina Gracia;BSM025;Carrer de la Marina, 345;Barcelona;08;Barcelona;0193;4+2;cotxe i moto;93.450.04.49;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-02/marina-gracia-2027-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.385662;2.193913; 08-0193-042 ;B:SM 25 - P.R.Biomèdica;BSM026;Carrer del Doctor Aiguader, 88;Barcelona;08;Barcelona;0193;5+2;cotxe i moto;93.409.20.21;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-03/p-r-biomedica-2030-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.413015;2.221156; 08-0193-043 ;B:SM 30 - Plaça del Fòrum ;BSM027;Carrer del Camp de la Bota 4C, - Plaça Ernest Narcís i Roca;Barcelona;08;Barcelona;0193;4+2;cotxe i moto;93.356.11.99;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-03/pl-forum-2033-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.416515;2.180421; 08-0193-044 ;B:SM 26 - Pg. Maragall (C.A.P.);BSM028;Passeig  de Maragall, 54;Barcelona;08;Barcelona;0193;4+2;cotxe i moto;93.435.10.39;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-03/maragall-2039-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.392246;2.128751; 08-0193-045 ;B:SM 9 - Cotxeres de Sarrià;BSM029;Passeig de Manuel Girona, 77;Barcelona;08;Barcelona;0193;4+2;cotxe i moto;93.280.27.40;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-01/cotxeres-de-sarria.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.396853;2.126718; 08-0193-046 ;B:SM 6 -  Cardenal Sentmenat - Vergós;BSM030;Carrer del Cardenal de Sentmenat, 8 ;Barcelona;08;Barcelona;0193;3+3;cotxe i moto;93.280.20.18;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-01/cardenal-sentmenat-vergos-2009-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.382737;2.194412; 08-0193-047 ;B:SM 15 - Hospital del Mar;BSM031;Passeig  Marítim de la Barceloneta, 23-31;Barcelona;08;Barcelona;0193;6+3;cotxe i moto;93.221.05.00;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-02/hospital-del-mar-2020-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.399536;2.185355; 08-0193-048 ;B:SM 29 - Plaça de les Arts - TNC;BSM032;Carrer de Padilla, 159;Barcelona;08;Barcelona;0193;4+2;cotxe i moto;93.245.10.93;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-03/pl-de-les-arts-2028-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.3744;2.1597; 08-0193-049 ;B:SM 33 - Plaça Navas;BSM033;Carrer de Jaume Fabra, 12;Barcelona;08;Barcelona;0193;3+2;cotxe i moto;93.329.94.74;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-04/placanavases.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.449138;2.190748; 08-0193-050 ;B:SM 41 - Galicia;BSM034;Carrer de Galicia, 16;Barcelona;08;Barcelona;0193;2;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.459612;2.175628; 08-0193-051 ;B:SM 42 - Ciutat Meridiana;BSM035;Carrer dels Rasos de Peguera, 51 S;Barcelona;08;Barcelona;0193;3;cotxe o moto;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;MENNEKES.F+Schuko;41.4033;2.152327; 08-0193-052 ;B:SM 14 - Gràcia motos;BSM036;Carrer Gran de Gràcia, 190;Barcelona;08;Barcelona;0193;2;moto;93.415.57.53;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-02/gracia-motos-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.4047;2.1896; 08-0193-053 ;B:SM 24 - Ona Glòries;BSM037;Carrer de la Ciutat de Granada, 173-175;Barcelona;08;Barcelona;0193;4;cotxe;93.309.23.45;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-03/ona-glories-2026-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.4044;2.1972; 08-0193-054 ;B:SM 34 - Rambla Poblenou;BSM038;Rambla del Poblenou, 130;Barcelona;08;Barcelona;0193;3;cotxe;93.309.42.79;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-04/ramblapoblenou2053es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko; 41.388797 ;2.192651; 08-0193-016 ;B:SM 40 - Wellington - Zoo;BSM039;Carrer de Ramon Trias Fargas, 19;Barcelona;08;Barcelona;0193;1;cotxe;93.225.96.89;7:30-21:30h;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-04/wellington-zoo-2405-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.420770;2.151564; 08-0193-055 ;B:SM 43 - Salvador Allende;BSM040;Plaça de Salvador Allende;Barcelona;08;Barcelona;0193;4;cotxe;;;
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.426239;2.143323; 08-0193-056 ;B:SM 37 - Sant Genís Vall d'Hebrón;BSM041;Passeig de la Vall d'Hebrón, 138-176;Barcelona;08;Barcelona;0193;1;cotxe;93.428.44.03;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-04/sant-genis-vall-dhebron-2034-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.404900;2.177290; 08-0193-057 ;B:SM 21 - Mercat Sagrada Família;BSM042;Carrer de Mallorca, 425-433;Barcelona;08;Barcelona;0193;1;cotxe;93.436.51.55;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-03/mercat-sagrada-familia-2307-es.html
B:SM Serveis Municipals;APARCAMENT PUBLIC ;NORMAL;Schuko;41.403202;2.196150; 08-0193-058 ;B:SM 1 - Almogàvers-Llacuna;BSM043;Carrer de la Llacuna, 101, Carrer de Sancho d'Àvila, 72;Barcelona;08;Barcelona;0193;1;cotxe;93.309.38.76;;http://www.aparcamentsbsm.cat/index.php/fichas-xarxa-01/almogavers-llacuna-2308-es.html
GAICU;VIA PUBLICA ;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.39347;2.20446; 08-0193-059 ;EdRR-Vil·la Olimpica-ES Repsol-McDonald's (DC50kW AC43kW);FC001;Avinguda del Litoral,49,  Sortida 23- Carrer de Badajoz;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.401313;2.122488; 08-0194-154 ;EdRR-Via Augusta-Bonanova (DC50kW AC43kW);FC002;Via Augusta, 352;Barcelona;08;Barcelona;0194;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.43101;2.18339; 08-0193-060 ;EdRR-Estació Sants, Ap. Zona Autobusos (DC50kW AC43kW);FC003;Carrer Viriat, 5-23;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.415125;2.136311; 08-0193-061 ;EdRR-Alfons Comín-Vallcarca (DC50kW AC43kW) ;FC004;Plaça Alfons Comín, 12- Isaac Newton;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.40646;2.15223; 08-0193-062 ;EdRR-Torrent de l'Olla (DC50kW AC43kW);FC005;Carrer Torrent de l'Olla, 203;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.44128;2.16499; 08-0193-063 ;EdRR-Mercat Canyelles-Rda Dalt (DC50kW AC43kW);FC006;Via Favència, 21;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.414478;2.172243; 08-0193-064 ;EdRR-Mas Casanova - H Sant Pau (DC50kW AC43kW);FC007;Carrer de Mas Casanova, 69;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.414478;2.183459; 08-0193-065 ;EdRR-Meridiana-Estació BUS (DC50kW AC43kW);FC008;Avinguda Meridiana, 400E;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA ;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.404770;2.174794; 08-0193-066 ;EdRR-Sagrada Família-Provença -KFC (DC50kW AC43kW);FC009;Carrer Provença, 447;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.388226;2.169769; 08-0193-067 ;EdRR-Passeig de Gràcia-Casp (DC50kW AC43kW);FC010;Passeig de Gràcia, 3;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.374847;2.171055; 08-0193-155 ;EdRR-Seu Endesa REE-TRYP APOLO  (DC50kW AC43kW);FC011;Avinguda  Paral·lel, 55;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
BIMSA;VIA PUBLICA;RAPID; CCS Combo2+ChadeMO+MENNEKES.M ;41.393773;2.149196; 08-0193-156 ;EdRR-Diagonal Aribau  (DC50kW AC43kW);FC012;Avinguda Diagonal, 445-447;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
MERCABARNA;VIA PUBLICA;FORA DE SERVEI;CCS Combo2+ChadeMO+MENNEKES.M;41.331131;2.115544; 08-0193-170 ;EdRR- Mercabarna (DC50kW AC43kW);FC013;Aparcament Mercabarna;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA;FORA DE SERVEI;CCS Combo2+ChadeMO+MENNEKES.M;41.383084;2.182858; 08-0193-171 ;EdRR-Pla de Palau  (DC50kW AC43kW);FC014;Pla de Palau, 4;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
GAICU;VIA PUBLICA;FORA DE SERVEI;CCS Combo2+ChadeMO+MENNEKES.M;41.432965;2.203728; 08-0193-172 ;"EdRR-URBASER Fra Juniper Serra (DC50kW AC43kW)
";FC015;Fra Juniper Serra,  59;Barcelona;08;Barcelona;0193;1;cotxe;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
Endesa;VIA PUBLICA;NORMAL;Schuko;41.381420709493625 ;2.1819696575403214; 08-0193-068 ;19 AjBCN-Endesa-Correus-Via Laietana;LC001;Plaça Antoni Lòpez,  s/n;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
AEB;VIA PUBLICA -VORERA;NORMAL;Schuko;41.38206874078276;2.1916725486516953; 08-0193-069 ;87 AjBCN-ETRA COBRA (Vorera Associació SEBA);LC002;Passeig de Salvat Papasseit, 15 - Carrer Ginebra;Barcelona;08;Barcelona;0193;2;moto;93.291.41.50;24h;https://w30.bcn.cat/APPS/portaltramits/portal/channel/default.html?&stpid=20100001027&style=empresa
